project_type,budget,planned_duration_days,worker_count,task_count,location_type,has_subcontractors,overrun_pct,final_cost,state,psc_code,data_source
1,169880054.51,1847,56,186,0,1,0.0,169880054.51,PA,Y1AA,USASpending.gov
1,168201838.42,2191,56,223,0,1,0.0,168201838.42,,Y1AA,USASpending.gov
2,166488629.3,1432,33,143,0,1,0.0,166488629.3,TX,Y1LB,USASpending.gov
1,166231152.0,1163,55,119,0,1,0.0,166231152.0,,Y1AA,USASpending.gov
2,163654768.0,2015,32,199,0,1,0.0,163654768.0,TX,Y1LB,USASpending.gov
1,162638604.12,1705,54,171,0,1,0.0,162638604.12,,Y1AA,USASpending.gov
1,160607553.66,2662,53,265,0,1,-0.0,160607553.2,,Y1AA,USASpending.gov
1,159754653.83,1656,53,166,0,1,0.0,159754653.83,FL,Y1AA,USASpending.gov
1,158601435.89,2411,52,240,0,1,0.0,158601435.89,NY,Y1AA,USASpending.gov
1,157041071.0,1824,52,185,0,1,0.0,157041071.0,CA,Y1AA,USASpending.gov
1,156294097.52,2350,52,238,0,1,0.0,156294097.52,,Y1AA,USASpending.gov
1,156255266.12,1685,52,171,0,1,0.0,156255266.12,FL,Y1KA,USASpending.gov
1,155837221.5,2922,51,291,0,1,-0.0115,155819294.5,,Y1AA,USASpending.gov
1,155799837.65,2558,51,256,0,1,0.0,155799837.65,,Y1AA,USASpending.gov
1,155071022.29,1405,51,143,0,1,0.0,155071022.29,CA,Y1PD,USASpending.gov
1,154927040.0,2890,51,291,0,1,0.0,154927040.0,NY,Y1AA,USASpending.gov
1,162628003.0,1485,54,152,1,1,-4.894,154669003.0,VA,Y1AA,USASpending.gov
1,154578918.88,1191,51,118,1,1,0.0,154578918.88,VA,Y1AA,USASpending.gov
1,153358549.0,2052,51,204,0,1,0.0,153358549.0,TN,Y1AA,USASpending.gov
1,158563349.17,2146,52,215,0,1,-4.4733,151470288.17,CO,Y1DB,USASpending.gov
2,150875292.35,2008,30,199,0,1,0.0,150875292.35,TX,Y1LB,USASpending.gov
1,149565662.0,3226,49,321,0,1,0.0,149565662.0,GA,Y1DB,USASpending.gov
2,159907450.6,2860,31,289,1,1,-6.9191,148843265.83,DC,Z1AA,USASpending.gov
2,152194720.0,495,30,50,0,1,-2.914,147759720.0,CA,Y1LB,USASpending.gov
1,143481873.82,1976,47,200,0,1,0.0,143481873.82,NC,Y1AA,USASpending.gov
1,140586244.12,1249,46,128,0,1,-0.0,140586214.12,,Y1AA,USASpending.gov
1,139241286.0,831,46,87,1,1,0.0,139241286.0,VA,Y1AA,USASpending.gov
1,135735432.0,638,45,66,2,1,0.0,135735432.0,AL,Y1AA,USASpending.gov
1,135201167.34,2771,45,281,0,1,0.0,135201167.34,,Y1AA,USASpending.gov
1,163618799.86,1478,54,148,0,1,-17.446,135073799.86,MI,Y1KA,USASpending.gov
1,134513148.64,1097,44,107,0,1,0.0,134513148.64,,Y1AA,USASpending.gov
2,134210976.67,1954,26,198,1,1,0.0,134210976.67,VA,Y1LB,USASpending.gov
1,134207483.65,1684,44,170,0,1,0.0,134207483.65,,Y1AA,USASpending.gov
1,133709120.51,1786,44,180,1,1,0.0,133709120.51,UT,Y1AA,USASpending.gov
1,131753659.13,1899,43,188,0,1,0.0,131753659.13,TX,Y1AA,USASpending.gov
0,129139373.89,1536,86,157,0,1,-0.0,129139373.88,,Y1CA,USASpending.gov
1,131668599.29,1861,43,188,0,1,-3.036,127671099.29,TX,Y1KB,USASpending.gov
0,126987874.7,1413,84,140,0,1,-0.04,126937028.2,,Y1CA,USASpending.gov
1,126761052.08,1902,42,188,1,1,0.0,126761052.08,IA,Y1AA,USASpending.gov
1,126512105.0,1589,42,159,2,1,0.0,126512105.0,SD,Y1DA,USASpending.gov
2,126236579.06,1427,25,143,0,1,0.0,126236579.06,TX,Y1LB,USASpending.gov
1,125129830.04,2468,41,247,0,1,-0.2277,124844870.04,CA,Y1KA,USASpending.gov
1,124730915.04,2198,41,221,0,1,-0.4248,124201031.04,MD,Y1AA,USASpending.gov
2,124047561.4,1686,24,166,0,1,0.0,124047561.4,NC,Y1LB,USASpending.gov
1,123005190.64,1556,41,157,0,1,-0.001,123004012.64,,Y1AA,USASpending.gov
2,122766577.45,1940,24,198,1,1,0.0,122766577.45,VA,Y1LB,USASpending.gov
2,120228419.72,1406,24,142,2,1,0.0,120228419.72,WY,Y1LB,USASpending.gov
1,119182971.68,921,39,90,0,1,0.0,119182971.68,,Y1AA,USASpending.gov
2,119029701.11,3611,23,359,1,1,0.0,119029701.11,VA,Y1LB,USASpending.gov
1,117556153.43,1810,39,185,2,1,0.0,117556153.43,ND,Y1KA,USASpending.gov
1,116779209.0,1977,38,195,0,1,0.0,116779209.0,MO,Y1DA,USASpending.gov
1,114283886.67,2168,38,214,2,1,0.0,114283886.67,AL,Y1AA,USASpending.gov
1,112491905.0,1025,37,103,0,1,0.0,112491905.0,WA,Y1DB,USASpending.gov
1,111757142.39,627,37,66,0,1,0.0,111757142.39,TX,Y1KB,USASpending.gov
2,110709117.0,1289,22,128,0,1,0.0,110709117.0,MD,Y1JA,USASpending.gov
2,147646508.18,2010,29,201,0,1,-20.0,109631553.28,NC,Y1LB,USASpending.gov
1,145815855.01,2958,48,293,1,1,-20.0,106334249.41,PR,Y1DA,USASpending.gov
0,106288110.47,1014,70,101,0,1,0.0,106288110.47,,Y1CA,USASpending.gov
1,106082207.56,1428,35,142,0,1,0.0,106082207.56,TX,Y1DA,USASpending.gov
1,104802623.78,1521,34,150,1,1,0.0,104802623.78,VA,Y1AA,USASpending.gov
1,129793326.54,2920,43,292,1,1,-19.8404,104041755.54,DC,Y1AA,USASpending.gov
1,102759370.92,1460,34,148,0,1,0.0,102759370.92,FL,Y1KB,USASpending.gov
1,121122295.67,2445,40,243,0,1,-15.9664,101783435.16,,Y1AA,USASpending.gov
1,101523714.4,1655,33,169,0,1,0.0,101523714.4,TX,Y1AA,USASpending.gov
1,100897309.0,1657,33,164,0,1,0.0,100897309.0,TX,Y1AA,USASpending.gov
1,99630113.81,1452,33,143,0,1,0.0,99630113.81,,Y1AA,USASpending.gov
1,98846727.24,2047,32,205,0,1,0.0,98846727.24,OH,Y1AA,USASpending.gov
1,102717558.4,1619,34,165,0,1,-5.4454,97124138.32,TX,Y1KA,USASpending.gov
1,95091587.2,1512,31,149,2,1,0.0,95091587.2,AL,Y1AA,USASpending.gov
1,94247033.42,909,31,91,0,1,-0.4904,93784850.42,NJ,Y1KA,USASpending.gov
0,92187554.9,2510,61,250,0,1,0.0,92187554.9,,Y1CA,USASpending.gov
2,91601317.38,3105,20,308,0,1,0.0,91601317.38,,Z1AA,USASpending.gov
2,91040865.0,1846,20,188,0,1,0.0,91040865.0,NC,Y1LB,USASpending.gov
2,92713671.01,594,20,63,0,1,-2.1572,90713671.01,TX,Y1LB,USASpending.gov
1,90583070.31,1473,30,150,0,1,0.0,90583070.31,TX,Y1KB,USASpending.gov
1,90552491.0,1064,30,108,0,1,-0.0,90552490.2,,Y1AA,USASpending.gov
0,89832525.66,2931,59,293,0,1,-0.0,89832525.64,,Y1CA,USASpending.gov
2,89043565.16,2184,20,219,1,1,0.0,89043565.16,DC,Y1JA,USASpending.gov
1,88077944.0,1606,29,163,1,1,0.0,88077944.0,SC,Y1AA,USASpending.gov
0,87947597.67,1538,58,153,0,1,0.0,87947597.67,AZ,Y1CA,USASpending.gov
1,87881285.97,416,29,41,0,1,-0.2822,87633285.97,TX,Y1KB,USASpending.gov
1,86579263.41,975,28,95,0,1,0.0,86579263.41,MD,Y1AA,USASpending.gov
2,86286560.34,1214,20,121,0,1,-1.043,85386560.34,NY,Y1HA,USASpending.gov
2,90966940.32,553,20,57,0,1,-6.5485,85009940.32,CA,Y1LB,USASpending.gov
1,84140798.68,1576,28,161,0,1,0.0,84140798.68,CA,Y1AA,USASpending.gov
1,84016469.59,1471,28,150,0,1,0.0,84016469.59,PA,Y1AA,USASpending.gov
1,83376450.32,1331,27,133,0,1,0.0,83376450.32,HI,Y1DB,USASpending.gov
1,163449485.35,1863,54,184,0,1,-20.0,83268397.11,,Y1AA,USASpending.gov
1,83175853.15,1705,27,172,2,1,-0.1569,83045353.15,KY,Y1KA,USASpending.gov
2,85683866.82,2699,20,268,1,1,-3.3592,82805570.72,VA,Y1LB,USASpending.gov
2,86286179.81,966,20,100,0,1,-4.6165,82302739.81,CA,Y1LC,USASpending.gov
1,81661584.68,1344,27,138,1,1,0.0,81661584.68,PR,Y1AA,USASpending.gov
2,80695124.82,2274,20,230,1,1,0.0,80695124.82,PR,Y1LB,USASpending.gov
0,80338143.28,2007,53,204,0,1,0.0,80338143.28,,Y1CA,USASpending.gov
2,80270959.27,1473,20,147,0,1,0.0,80270959.27,CA,Y1LC,USASpending.gov
0,80155733.22,1616,53,159,2,1,0.0,80155733.22,NM,Y1CA,USASpending.gov
1,84389350.26,1789,28,182,0,1,-6.1332,79213550.26,FL,Y1KB,USASpending.gov
2,78435115.47,1543,20,158,1,1,0.0,78435115.47,GU,Y1NA,USASpending.gov
1,78408544.3,3062,26,305,0,1,0.0,78408544.3,,Y1AA,USASpending.gov
2,79082206.66,1919,20,190,0,1,-0.9528,78328695.63,MI,Z1AA,USASpending.gov
0,76843117.06,2025,51,203,0,1,0.0,76843117.06,,Y1CA,USASpending.gov
1,76383318.0,1892,25,191,0,1,0.0,76383318.0,CA,Y1DB,USASpending.gov
1,76054585.0,1234,25,123,1,1,0.0,76054585.0,DC,Y1AA,USASpending.gov
2,82133361.51,2556,20,259,1,1,-7.4527,76012194.54,VA,Z1AA,USASpending.gov
1,82970335.67,1244,27,128,0,1,-8.4687,75943822.0,TX,Y1DB,USASpending.gov
2,75875349.89,420,20,40,2,1,0.0,75875349.89,NM,Y1LB,USASpending.gov
0,74969204.29,3236,49,324,0,1,0.0,74969204.29,,Y1CA,USASpending.gov
2,74808237.0,1117,20,113,0,1,0.0,74808237.0,CO,Z1AA,USASpending.gov
2,73625050.0,963,20,97,0,1,0.0,73625050.0,CA,Y1LB,USASpending.gov
1,73452427.39,1269,24,129,1,1,0.0,73452427.39,VA,Y1AA,USASpending.gov
0,73001109.71,1742,48,176,0,1,0.0,73001109.71,AZ,Y1CA,USASpending.gov
1,72934672.06,1815,24,185,0,1,0.0,72934672.06,TX,Y1DB,USASpending.gov
1,1203582245.0,908,401,94,2,1,-20.0,72833350.0,AL,Y1AA,USASpending.gov
1,72727436.87,1638,24,165,0,1,-0.2517,72544393.88,FL,Y1KA,USASpending.gov
2,72055176.52,1978,20,201,0,1,-0.7381,71523341.52,CA,Y1LC,USASpending.gov
1,71189117.02,1428,23,142,0,1,0.0,71189117.02,TX,Y1KA,USASpending.gov
1,71103590.57,890,23,91,0,1,0.0,71103590.57,,Y1KA,USASpending.gov
1,70814216.14,1667,23,167,0,1,0.0,70814216.14,FL,Y1KA,USASpending.gov
1,70637339.0,992,23,101,2,1,0.0,70637339.0,NM,Y1AA,USASpending.gov
1,69598911.91,1920,23,196,0,1,0.0,69598911.91,,Y1DB,USASpending.gov
2,69129080.1,969,20,96,2,1,0.0,69129080.1,ND,Y1LB,USASpending.gov
2,68914237.0,990,20,99,2,1,0.0,68914237.0,AL,Y1JB,USASpending.gov
2,68738271.82,1564,20,159,0,1,0.0,68738271.82,CA,Y1NA,USASpending.gov
1,68263358.75,1825,22,183,0,1,0.0,68263358.75,HI,Y1AA,USASpending.gov
2,68149459.15,1208,20,119,0,1,0.0,68149459.15,MD,Z1AA,USASpending.gov
1,67495820.28,1726,22,171,1,1,0.0,67495820.28,MH,Y1DB,USASpending.gov
1,67395480.99,1631,22,165,1,1,0.0,67395480.99,GU,Y1DA,USASpending.gov
1,66829941.43,1206,22,123,2,1,0.0,66829941.43,SD,Y1KA,USASpending.gov
1,65946679.3,2241,21,222,2,1,-0.0823,65892429.3,KY,Y1DB,USASpending.gov
0,65536046.33,1928,43,194,0,1,0.0,65536046.33,,Y1CA,USASpending.gov
1,65366169.73,1209,21,123,0,1,0.0,65366169.73,MA,Y1DA,USASpending.gov
1,65294183.85,1022,21,103,0,1,0.0,65294183.85,,Y1AA,USASpending.gov
1,65119746.79,1600,21,161,0,1,0.0,65119746.79,MA,Y1DB,USASpending.gov
1,64765013.17,1535,21,154,0,1,0.0,64765013.17,MI,Y1AA,USASpending.gov
1,64434131.92,2288,21,229,2,1,0.0,64434131.92,ND,Y1KA,USASpending.gov
2,64333552.05,1790,20,180,1,1,0.0,64333552.05,VA,Y1LB,USASpending.gov
0,65084017.0,1514,43,154,0,1,-2.0927,63722017.0,NY,Y1CA,USASpending.gov
2,63483307.0,748,20,77,0,1,0.0,63483307.0,MD,Y1LB,USASpending.gov
2,63265395.09,1191,20,119,0,1,-0.0,63265395.08,,Y1NA,USASpending.gov
2,64903013.4,2291,20,228,0,1,-2.6763,63166013.4,CA,Y1LB,USASpending.gov
1,62888864.87,1103,20,114,0,1,0.0,62888864.87,CA,Y1DB,USASpending.gov
1,62719347.75,782,20,79,2,1,0.0,62719347.75,AL,Y1KB,USASpending.gov
1,62677870.17,1318,20,129,0,1,0.0,62677870.17,,Y1AA,USASpending.gov
0,62420485.81,1624,41,166,2,1,0.0,62420485.81,KY,Y1CA,USASpending.gov
2,62348582.85,533,20,56,0,1,0.0,62348582.85,GA,Z1AA,USASpending.gov
2,62215153.16,1242,20,122,1,1,0.0,62215153.16,VA,Y1LB,USASpending.gov
2,74509384.4,1657,20,163,2,1,-16.5885,62149395.17,MS,Y1LB,USASpending.gov
0,61723637.28,991,41,97,0,1,0.0,61723637.28,,Y1CA,USASpending.gov
1,62189627.0,1271,20,127,0,1,-0.8575,61656376.0,NY,Y1KA,USASpending.gov
1,61235519.48,1052,20,108,0,1,0.0,61235519.48,FL,Y1KB,USASpending.gov
1,63309242.49,1260,21,124,0,1,-3.864,60862982.49,FL,Y1DB,USASpending.gov
1,60706733.23,1456,20,146,0,1,0.0,60706733.23,PA,Y1AA,USASpending.gov
1,59960875.4,1675,19,169,0,1,0.0,59960875.4,,Y1PD,USASpending.gov
0,59754923.39,1459,39,143,0,1,0.0,59754923.39,TN,Y1CA,USASpending.gov
2,59744324.51,930,20,93,0,1,0.0,59744324.51,HI,Y1LB,USASpending.gov
2,58721309.35,1240,20,128,0,1,0.0,58721309.35,CA,Y1NA,USASpending.gov
1,58590140.0,1979,19,200,0,1,0.0,58590140.0,MO,Y1DB,USASpending.gov
2,58421876.45,1631,20,163,0,1,-0.2817,58257307.35,FL,Y1NB,USASpending.gov
2,80105906.57,1238,20,121,1,1,-20.0,58172609.15,OR,Y1LB,USASpending.gov
2,58886121.23,1600,20,163,1,1,-1.4829,58012903.23,SC,Y1NA,USASpending.gov
2,118613321.22,2740,23,276,1,1,-20.0,57945120.21,VA,Z1AA,USASpending.gov
1,57914484.82,1882,19,186,1,1,0.0,57914484.82,VA,Y1DA,USASpending.gov
1,57857919.0,1147,19,114,0,1,0.0,57857919.0,HI,Y1AA,USASpending.gov
1,57342125.87,2432,19,242,2,1,0.0,57342125.87,AK,Y1AA,USASpending.gov
1,57262001.92,1032,19,104,0,1,0.0,57262001.92,,Y1AA,USASpending.gov
1,56236581.01,1807,18,184,1,1,0.0,56236581.01,VA,Y1AA,USASpending.gov
1,65059318.02,2357,21,235,2,1,-13.7684,56101685.02,ME,Y1DB,USASpending.gov
1,55994835.81,3382,18,341,0,1,0.0,55994835.81,,Y1AA,USASpending.gov
1,57226719.06,1426,19,140,2,1,-2.5241,55782252.06,NM,Y1AA,USASpending.gov
1,55704414.42,3247,18,325,2,1,-0.2711,55553414.42,ND,Y1KA,USASpending.gov
2,56003096.47,1237,20,121,0,1,-0.8983,55500000.47,CA,Y1LC,USASpending.gov
1,55415916.8,1013,18,104,0,1,0.0,55415916.8,NY,Y1KA,USASpending.gov
1,55328989.8,1829,18,180,0,1,0.0,55328989.8,FL,Y1KA,USASpending.gov
1,54765965.47,1570,18,156,0,1,0.0,54765965.47,NC,Y1DB,USASpending.gov
2,58990292.0,828,20,83,1,1,-7.1639,54764292.0,VA,Y1LB,USASpending.gov
1,54418716.0,1092,18,110,0,1,0.0,54418716.0,MI,Y1DA,USASpending.gov
1,54409758.01,1597,18,162,0,1,0.0,54409758.01,NC,Y1AA,USASpending.gov
0,56938544.58,2815,37,285,1,1,-4.6021,54318201.58,VA,Y1CA,USASpending.gov
1,54146248.18,1214,18,120,1,1,0.0,54146248.18,SC,Y1AA,USASpending.gov
1,54116376.6,2527,18,252,2,1,0.0,54116376.6,WV,Y1AB,USASpending.gov
2,54705083.96,758,20,73,0,1,-1.4503,53911717.96,CA,Y1LC,USASpending.gov
1,54924000.0,891,18,91,2,1,-1.9445,53856000.0,NM,Y1AA,USASpending.gov
1,53843748.75,1386,17,136,0,1,-0.0088,53839018.75,FL,Y1DA,USASpending.gov
1,53214779.38,1711,17,169,0,1,0.0,53214779.38,NY,Y1KA,USASpending.gov
1,52885929.4,1408,17,140,0,1,0.0,52885929.4,CA,Y1DB,USASpending.gov
1,52873442.72,1752,17,173,0,1,0.0,52873442.72,MD,Y1DA,USASpending.gov
1,52835280.56,1935,17,192,0,1,0.0,52835280.56,,Y1AA,USASpending.gov
0,53799517.0,1073,35,106,0,1,-1.9127,52770517.0,TN,Y1CA,USASpending.gov
1,52725298.0,1180,17,119,1,1,0.0,52725298.0,VA,Y1AA,USASpending.gov
1,52620114.59,569,17,59,2,1,0.0,52620114.59,AL,Y1KB,USASpending.gov
1,52540275.83,1382,17,142,1,1,0.0,52540275.83,VA,Y1AA,USASpending.gov
1,52431703.44,1767,17,178,1,1,0.0,52431703.44,DC,Y1AA,USASpending.gov
1,52345319.88,1363,17,134,1,1,0.0,52345319.88,GU,Y1DA,USASpending.gov
1,52262115.0,1662,17,164,0,1,-0.627,51934414.0,CO,Y1AA,USASpending.gov
1,51708792.0,1261,17,126,0,1,0.0,51708792.0,TN,Y1DA,USASpending.gov
1,51696518.49,1206,17,123,0,1,-0.2657,51559155.83,FL,Y1KA,USASpending.gov
1,51613583.79,1850,17,184,1,1,-0.1147,51554393.0,OK,Y1AA,USASpending.gov
1,51550598.71,699,17,71,1,1,0.0,51550598.71,MN,Y1DA,USASpending.gov
1,51078291.64,1364,17,137,0,1,0.0,51078291.64,IL,Y1KA,USASpending.gov
2,51017923.0,1090,20,108,0,1,0.0,51017923.0,GA,Y1LB,USASpending.gov
1,50978960.0,913,16,94,0,1,0.0,50978960.0,,Y1AA,USASpending.gov
0,50878598.0,1529,33,156,0,1,0.0,50878598.0,NY,Y1CA,USASpending.gov
1,50812794.74,1020,16,103,1,1,0.0,50812794.74,VA,Y1AA,USASpending.gov
0,50682193.7,886,33,92,0,1,0.0,50682193.7,,Y1CA,USASpending.gov
1,50782315.51,1303,16,130,0,1,-0.4745,50541357.76,FL,Y1KA,USASpending.gov
2,50311599.77,976,20,97,1,1,0.0,50311599.77,LA,Y1LB,USASpending.gov
1,50309917.32,2771,16,275,0,1,0.0,50309917.32,FL,Y1KA,USASpending.gov
1,50286710.23,1704,16,174,0,1,-0.0,50286709.23,FL,Y1KA,USASpending.gov
0,49871630.28,917,33,94,1,1,0.0,49871630.28,PR,Y1CA,USASpending.gov
0,55441302.0,2011,36,203,0,1,-10.1616,49807601.0,NC,Y1CA,USASpending.gov
1,49565847.26,1974,16,198,2,1,0.0,49565847.26,ID,Y1PD,USASpending.gov
0,49348718.79,1119,32,110,0,1,0.0,49348718.79,,Y1CA,USASpending.gov
1,49293483.27,2024,16,205,0,1,0.0,49293483.27,TN,Y1KA,USASpending.gov
2,49093804.79,1263,20,129,1,1,0.0,49093804.79,GU,Y1LB,USASpending.gov
2,49024934.0,1201,20,120,0,1,0.0,49024934.0,TX,Z1AA,USASpending.gov
2,48587907.19,1966,20,200,1,1,0.0,48587907.19,VI,Y1LB,USASpending.gov
1,48893481.0,1036,16,101,1,1,-1.2681,48273481.0,VA,Y1AA,USASpending.gov
2,48018601.0,1122,20,110,0,1,0.0,48018601.0,NY,Y1LB,USASpending.gov
2,47948447.03,1694,20,170,1,1,0.0,47948447.03,VA,Y1JB,USASpending.gov
2,82203266.28,1825,20,182,0,1,-20.0,47893438.54,OH,Z1AA,USASpending.gov
2,48011876.55,1295,20,132,0,1,-1.2387,47417176.55,MD,Y1NA,USASpending.gov
1,47170943.0,1703,15,172,0,1,0.0,47170943.0,GA,Y1DA,USASpending.gov
1,47150887.49,779,15,77,2,1,0.0,47150887.49,AL,Y1DB,USASpending.gov
0,47120804.25,1593,31,160,2,1,0.0,47120804.25,AL,Y1CA,USASpending.gov
2,46470615.27,2088,20,209,2,1,0.0,46470615.27,AR,Y1NB,USASpending.gov
1,46387334.52,947,15,94,0,1,0.0,46387334.52,IL,Y1DA,USASpending.gov
1,46237336.47,1946,15,195,0,1,0.0,46237336.47,MD,Y1DA,USASpending.gov
2,46308648.62,1946,20,194,0,0,-0.172,46228983.86,NY,Z1AA,USASpending.gov
