project_type,budget,planned_duration_days,worker_count,task_count,location_type,has_subcontractors,snapshot_progress_pct,actual_cost_at_snapshot,cpi,spi,delayed_task_count,delayed_task_ratio,labour_ratio,material_ratio,months_elapsed,budget_used_pct,schedule_efficiency,overrun_pct
2,85263934.07,321,94,37,0,1,88.75,79829856.17,0.9479,0.648,9,0.236,0.1907,0.589,9,93.63,9.8613,61.0791
0,47120804.25,1593,31,160,2,1,28.66,12730518.13,1.0608,0.8599,21,0.1295,0.3377,0.3992,15,27.02,1.9107,0.0597
1,123005190.64,1556,41,157,0,1,65.62,60947436.08,1.3243,1.0069,0,0.0,0.194,0.5995,34,49.55,1.93,-20.0
1,90552491.0,1064,30,108,0,1,79.79,85905095.24,0.8411,0.8999,14,0.1271,0.2465,0.4481,28,94.87,2.8498,11.3099
1,159754653.83,1656,53,166,0,1,44.08,112717729.56,0.6248,0.9007,24,0.1442,0.2157,0.5786,24,70.56,1.8368,46.0863
1,39063966.35,1449,13,147,0,1,79.68,43926375.83,0.7086,0.8016,45,0.3028,0.3252,0.4806,38,112.45,2.097,39.2827
0,32997525.59,2858,21,287,0,1,54.78,15794635.93,1.1444,1.048,0,0.0,0.2834,0.522,52,47.87,1.0534,0.049
2,565102979.72,192,105,24,0,1,49.76,337414434.94,0.8334,0.9608,8,0.319,0.2425,0.5124,3,59.71,16.5871,71.7104
0,40122344.51,1177,26,118,0,1,70.86,30375217.37,0.9359,1.0363,0,0.0,0.3633,0.4246,27,75.71,2.6243,11.4876
0,29875126.95,78,9,10,1,1,58.36,13719220.99,1.2709,1.0847,3,0.315,0.2166,0.5317,1,45.92,58.3605,-1.1392
1,221114401.0,1909,73,190,0,1,51.3,162452141.01,0.6982,0.8325,55,0.2894,0.1698,0.359,32,73.47,1.603,49.7587
2,385809481.02,832,117,109,0,1,78.78,329353637.94,0.9229,0.8891,25,0.2329,0.3443,0.5673,21,85.37,3.7516,59.4544
1,195785640.57,198,43,26,1,1,37.85,62282867.59,1.1899,1.2479,3,0.1075,0.1636,0.39,2,31.81,18.9264,1.2106
0,1435180.33,133,9,18,1,0,89.06,938528.7,1.3618,1.012,7,0.4088,0.3673,0.4568,3,65.39,29.6856,-9.3449
0,44651100.66,1532,29,153,0,1,85.51,56225439.82,0.6791,0.7735,49,0.318,0.3569,0.4764,43,125.92,1.9885,56.3048
0,27366610.79,176,8,25,0,0,90.66,24590822.7,1.0089,0.9395,4,0.1522,0.3103,0.5767,5,89.86,18.1322,-3.7011
2,45713569.83,1218,20,125,0,1,48.73,31285753.94,0.712,0.9049,3,0.0224,0.2386,0.5288,19,68.44,2.5647,40.5238
2,752746266.61,280,151,35,2,1,42.97,301102531.5,1.0743,0.7943,3,0.0927,0.3937,0.5813,4,40.0,10.7428,28.0421
0,15787580.81,92,7,11,1,0,51.45,10073525.17,0.8063,1.0358,2,0.2038,0.32,0.5101,1,63.81,51.4504,36.9057
0,15697666.19,195,12,24,1,0,40.58,6946899.56,0.9169,0.9301,8,0.352,0.3997,0.4933,2,44.25,20.2878,16.641
2,290283521.67,1461,58,147,0,1,77.08,178386772.08,1.2543,1.0603,0,0.0,0.3199,0.6653,37,61.45,2.0833,-20.0
2,62348582.85,533,20,56,0,1,44.96,36360158.61,0.7709,0.9853,0,0.0,0.2867,0.6171,7,58.32,6.4225,45.2726
1,27665717.68,1069,10,105,0,1,56.51,20220467.84,0.7731,1.0031,2,0.0187,0.3732,0.4531,20,73.09,2.8254,31.2159
0,6718938.99,172,8,25,0,1,54.9,4043891.35,0.9122,0.6061,0,0.0139,0.4339,0.3819,3,60.19,18.3003,33.4938
2,364484380.39,753,138,95,0,1,38.86,168149792.97,0.8423,1.0488,27,0.2856,0.2651,0.6745,9,46.13,4.3176,73.7173
0,627737.02,173,7,22,0,0,81.74,414461.66,1.238,1.0551,2,0.0908,0.4213,0.4408,4,66.02,20.4344,-20.0
1,54146248.18,1214,18,120,1,1,73.52,76606993.09,0.5197,0.7295,38,0.3179,0.3286,0.4775,29,141.48,2.5353,69.9287
1,62678774.65,540,46,66,1,1,56.36,31572055.97,1.1189,1.1676,5,0.0823,0.2395,0.4949,10,50.37,5.6359,5.7595
2,82133361.51,2556,20,259,1,1,44.32,74579932.26,0.4881,0.704,82,0.3151,0.265,0.5546,37,90.8,1.1979,71.1149
1,71117251.7,426,63,50,1,1,44.04,44870755.16,0.6979,0.9347,10,0.2055,0.2867,0.4292,6,63.09,7.3392,71.9481
2,562685025.32,253,112,34,0,1,36.1,171948060.24,1.1814,1.0996,0,0.0124,0.2553,0.5198,3,30.56,12.0342,17.2625
1,27445168.03,1354,10,133,0,1,77.73,16951185.84,1.2585,1.0919,0,0.0,0.2811,0.4236,35,61.76,2.2208,-20.0
1,232027041.14,3380,77,338,0,1,91.96,223896791.29,0.953,0.9914,5,0.016,0.368,0.4747,103,96.5,0.8928,4.0381
1,319382955.0,2443,106,243,0,1,41.17,126708272.96,1.0378,1.1092,0,0.0,0.2739,0.4665,33,39.67,1.2476,2.0144
1,126280444.42,447,63,58,1,1,79.68,140825983.29,0.7145,1.0996,18,0.3057,0.2963,0.4482,11,111.52,7.244,76.9938
1,52540275.83,1382,17,142,1,1,81.22,72737132.68,0.5867,0.8739,28,0.1994,0.3702,0.4292,37,138.44,2.1953,63.8915
2,276884961.16,455,36,60,0,1,63.32,144583305.0,1.2125,1.1267,20,0.3345,0.12,0.5465,9,52.22,7.0351,9.9348
1,162638604.12,1705,54,171,0,1,71.43,140706033.97,0.8256,0.8319,34,0.2014,0.2648,0.5115,40,86.51,1.7857,30.3189
1,31414321.1,828,10,82,1,1,69.94,26732314.42,0.8219,0.8825,14,0.1694,0.2472,0.498,19,85.1,3.681,34.5871
1,95091587.2,1512,31,149,2,1,91.84,86906152.73,1.0049,0.9783,16,0.1066,0.3211,0.533,46,91.39,1.9966,5.1032
2,74509384.4,1657,20,163,2,1,66.12,44600127.36,1.1046,1.0537,0,0.0,0.1971,0.5945,36,59.86,1.8366,-11.6281
0,15613491.06,189,6,28,0,0,76.03,9639990.3,1.2314,0.9131,1,0.032,0.2204,0.5179,4,61.74,19.0078,-9.5661
2,39321248.41,980,20,101,2,1,83.02,40368339.36,0.8087,0.9288,9,0.0886,0.2763,0.5611,27,102.66,3.0748,25.9727
1,130286572.36,294,24,38,0,1,66.74,89135948.39,0.9755,0.9313,9,0.2276,0.3735,0.3504,6,68.42,11.1237,41.6073
2,402569384.68,848,93,107,1,1,30.78,219883334.39,0.5635,0.6534,28,0.265,0.2451,0.4718,8,54.62,3.8475,157.723
1,84428211.48,364,38,46,1,1,66.46,45899574.67,1.2225,1.0119,9,0.206,0.3565,0.494,8,54.37,8.3079,6.5551
2,58886121.23,1600,20,163,1,1,77.07,108356049.05,0.4188,0.7278,69,0.4215,0.2517,0.519,41,184.01,1.8798,117.0736
0,22934287.79,191,13,23,0,0,83.71,16612393.06,1.1556,1.1613,9,0.3802,0.3412,0.4636,5,72.43,16.7414,4.3549
2,384456781.09,822,51,104,2,1,75.91,322570718.03,0.9047,1.1238,31,0.2995,0.2465,0.53,20,83.9,3.7955,50.3467
0,11107472.74,56,13,5,1,0,33.82,3049720.51,1.2318,0.9742,1,0.2195,0.2957,0.4975,1,27.46,33.8205,-4.4275
2,36666729.63,810,20,81,0,1,67.15,30007373.11,0.8206,0.9007,18,0.2245,0.2749,0.5232,18,81.84,3.7308,19.0889
2,643086242.12,850,75,111,0,1,34.09,179866304.95,1.2189,1.0936,23,0.2078,0.2863,0.6943,9,27.97,3.788,30.8037
1,88077944.0,1606,29,163,1,1,43.61,48412528.33,0.7933,0.9449,7,0.0452,0.2194,0.5294,23,54.97,1.8959,40.8961
1,27383910.0,1041,10,105,1,1,46.79,22399063.08,0.5721,0.9202,17,0.1606,0.3433,0.5594,16,81.8,2.9246,53.061
2,962898274.94,630,192,67,0,1,69.51,1133241310.9,0.5906,0.7445,21,0.3067,0.2452,0.4319,14,117.69,4.9649,82.9767
1,44591580.44,1422,14,140,0,1,49.44,17565162.84,1.2552,1.0929,0,0.0,0.2102,0.5413,23,39.39,2.1497,-14.5519
1,178199764.11,145,35,17,0,1,91.69,134955474.47,1.2107,1.0981,0,0.0148,0.3131,0.4435,4,75.73,22.922,-12.398
1,133644804.46,381,32,47,0,1,51.97,81236007.79,0.8549,1.0411,19,0.405,0.2723,0.3701,6,60.79,8.6613,47.4286
1,1100727120.07,2587,366,260,0,1,55.75,904662876.92,0.6783,0.8667,68,0.263,0.2481,0.5678,48,82.19,1.1614,37.1192
1,61235519.48,1052,20,108,0,1,39.07,26787894.5,0.893,0.8294,25,0.2298,0.3223,0.5422,13,43.75,3.005,19.0313
1,106934474.16,388,34,45,1,1,41.35,48283757.59,0.9158,1.052,16,0.3453,0.2884,0.4858,5,45.15,8.2698,45.5128
2,393705350.43,837,82,101,1,1,66.16,306163650.45,0.8507,0.5598,20,0.1951,0.2997,0.4407,18,77.76,3.6754,71.2474
1,39200077.17,2120,13,211,0,1,41.43,24860109.6,0.6533,0.7965,65,0.3087,0.137,0.4686,29,63.42,1.4288,34.2498
1,140586244.12,1249,46,128,0,1,58.41,126497601.41,0.6491,0.9009,10,0.0792,0.2754,0.5063,24,89.98,2.4336,46.9911
2,95984326.55,1095,20,112,0,0,51.56,60662748.38,0.8158,0.8537,21,0.1892,0.2709,0.5279,18,63.2,2.8643,20.2683
1,85626740.39,512,40,64,0,1,72.04,59765021.84,1.0322,0.6962,22,0.3459,0.308,0.5196,12,69.8,6.0035,49.2686
1,102759370.92,1460,34,148,0,1,66.54,91004622.95,0.7514,0.8118,33,0.2239,0.1378,0.4565,32,88.56,2.0794,44.0797
1,36955087.65,1929,12,195,0,1,88.13,25486008.74,1.2778,1.0217,0,0.0,0.2962,0.5565,56,68.96,1.5737,-20.0
1,65946679.3,2241,21,222,2,1,90.43,82398677.64,0.7238,0.797,57,0.2567,0.2898,0.5577,67,124.95,1.3497,35.2126
2,93726208.65,606,111,79,1,1,46.24,42032373.93,1.0311,0.9757,37,0.4664,0.1888,0.6614,9,44.85,5.1378,64.0838
1,67395480.99,1631,22,165,1,1,57.69,61936240.47,0.6278,0.7872,32,0.1919,0.3593,0.3083,31,91.9,1.8611,66.3086
2,601090976.55,691,86,87,2,1,52.88,346986405.22,0.9161,0.8526,8,0.0919,0.1944,0.4777,12,57.73,4.4067,55.9306
2,30031973.11,1072,20,105,2,1,81.74,28325692.71,0.8667,0.9449,16,0.1501,0.2635,0.5329,29,94.32,2.8187,7.7451
0,20979827.51,60,16,10,0,0,89.04,15355872.49,1.2165,1.1062,3,0.294,0.2769,0.3948,1,73.19,89.0384,-16.1267
0,6402647.82,146,7,21,1,0,54.83,3121203.41,1.1248,0.8917,10,0.4532,0.4213,0.3979,2,48.75,27.4166,-4.2923
2,38978353.23,1276,20,127,1,1,39.49,21450710.47,0.7175,1.1273,0,0.0,0.3338,0.6126,16,55.03,2.468,21.2862
0,28119125.64,178,16,26,0,0,48.37,10273524.32,1.3238,1.2095,10,0.3886,0.2957,0.4266,2,36.54,24.1835,-17.4817
1,157132765.97,300,36,34,0,1,72.97,114344391.69,1.0027,0.8705,9,0.2767,0.3126,0.4962,7,72.77,10.4238,34.9328
1,68263358.75,1825,22,183,0,1,76.38,47250337.03,1.1035,0.9129,21,0.1174,0.3015,0.5128,46,69.22,1.6604,-11.4624
1,27335843.04,1317,10,130,0,1,34.77,7551388.02,1.2587,1.1802,0,0.0,0.2027,0.5426,15,27.62,2.3181,-20.0
1,50309917.32,2771,16,275,0,1,40.4,23502724.57,0.8649,0.9518,37,0.1346,0.4173,0.5532,37,46.72,1.092,20.2616
1,41990020.66,1119,13,110,0,1,44.72,19486196.41,0.9637,0.9002,17,0.1543,0.234,0.423,16,46.41,2.7952,-5.0682
2,776651228.06,173,106,21,2,1,77.83,568797250.4,1.0627,0.7656,1,0.0481,0.2577,0.6193,4,73.24,19.457,22.0635
1,36041531.0,1292,12,131,0,1,25.71,11382588.18,0.814,0.8978,20,0.1491,0.2535,0.5667,11,31.58,2.3372,15.195
1,698061227.99,1818,232,180,0,1,25.93,295414148.07,0.6128,0.9311,7,0.0389,0.2269,0.4385,15,42.32,1.7289,21.2795
1,124730915.04,2198,41,221,0,1,84.09,86007596.12,1.2195,1.0755,0,0.0,0.2762,0.4767,61,68.95,1.3785,-17.0084
0,20684263.89,61,14,7,1,1,29.14,7267210.05,0.8295,0.9874,0,0.0282,0.4202,0.5137,1,35.13,29.1447,30.4245
0,27330784.96,186,11,21,2,0,90.56,40224901.9,0.6153,0.726,1,0.0305,0.3417,0.3695,5,147.18,18.1112,78.8905
1,244089450.2,3362,81,339,0,1,70.21,268618198.89,0.638,0.8538,84,0.2492,0.2665,0.5564,78,110.05,0.9001,48.6896
1,86174378.23,411,28,56,0,1,81.69,135548627.44,0.5193,0.9575,23,0.4139,0.2596,0.6521,11,157.3,7.4265,125.8252
1,134513148.64,1097,44,107,0,1,47.95,77734802.94,0.8298,0.8903,17,0.163,0.3276,0.5696,17,57.79,2.8208,34.0471
1,698061227.99,1818,232,180,0,1,33.83,298220251.94,0.7919,1.0256,0,0.0,0.3018,0.4661,20,42.72,1.6916,21.2795
1,228140685.14,1799,76,183,0,1,30.76,68281508.32,1.0278,1.0789,0,0.0,0.3578,0.5191,18,29.93,1.7089,7.989
1,181115927.02,313,44,39,1,1,80.45,196199342.03,0.7427,0.7103,12,0.3117,0.3583,0.5621,8,108.33,10.0565,80.5494
1,142784021.59,470,52,62,0,1,41.56,68157821.6,0.8706,1.056,40,0.65,0.4467,0.4713,6,47.73,6.9265,62.7727
1,50033528.07,412,45,52,0,1,87.58,35661368.68,1.2287,1.1136,28,0.5425,0.2965,0.46,12,71.27,7.2982,14.0159
2,27913021.0,723,20,71,0,1,26.22,6057742.19,1.2081,1.0026,0,0.0,0.2424,0.516,6,21.7,4.3699,-20.0
2,435169334.06,397,80,54,1,1,44.49,260775427.69,0.7424,1.1864,12,0.2262,0.4254,0.6141,5,59.93,8.898,70.3969
1,33819700.39,870,11,87,0,1,60.24,24603127.42,0.8281,0.9577,2,0.0248,0.3466,0.5055,17,72.75,3.5436,19.3245
2,87634217.73,1460,20,150,1,0,88.33,82030089.5,0.9436,0.9491,23,0.1555,0.2889,0.4741,42,93.61,2.103,13.9923
2,684795163.88,158,84,18,0,1,37.07,245005092.51,1.0361,0.8405,3,0.1501,0.2196,0.6571,1,35.78,37.0691,53.7114
2,74808237.0,1117,20,113,0,1,68.13,79688340.16,0.6396,0.8221,20,0.1731,0.2694,0.4539,25,106.52,2.7253,42.6944
2,48011876.55,1295,20,132,0,1,65.07,40613231.29,0.7693,0.891,18,0.1345,0.2473,0.5193,28,84.59,2.324,23.1944
2,80270959.27,1473,20,147,0,1,56.17,103976323.85,0.4336,0.6063,71,0.4812,0.2746,0.5736,27,129.53,2.0802,102.8833
1,137877916.55,153,48,19,2,1,73.18,127195607.69,0.7933,0.946,5,0.261,0.4325,0.5186,3,92.25,24.394,65.6303
0,32062887.65,1136,21,112,0,1,53.48,25318420.26,0.6773,0.5792,66,0.5871,0.2378,0.4133,20,78.96,2.674,61.7366
0,10362774.9,72,3,7,0,0,79.72,9992738.98,0.8267,0.7075,1,0.1888,0.2322,0.4472,1,96.43,79.7196,48.0011
1,35345467.51,1505,11,150,1,1,32.23,20028239.37,0.5688,0.9161,22,0.1439,0.3625,0.5434,16,56.66,2.0146,67.0589
1,142840555.38,357,44,46,1,1,64.31,79496887.34,1.1555,0.9361,2,0.0519,0.2581,0.6593,7,55.65,9.1867,5.4991
2,276500191.84,660,98,81,1,1,83.64,197832629.7,1.1689,0.9814,16,0.2022,0.1759,0.6857,18,71.55,4.6464,42.3945
0,9941890.79,111,4,17,1,0,78.01,7880857.36,0.9842,1.1857,2,0.1105,0.3532,0.5138,2,79.27,39.0072,2.219
0,32062887.65,1136,21,112,0,1,32.16,16364954.06,0.63,0.8792,10,0.0887,0.3711,0.4644,12,51.04,2.6796,61.7366
2,306480123.22,456,101,56,1,1,87.43,250515686.26,1.0696,1.2124,18,0.3179,0.12,0.4934,13,81.74,6.7255,47.0627
0,74969204.29,3236,49,324,0,1,69.26,51965223.2,0.9992,1.1328,0,0.0,0.3093,0.4859,74,69.32,0.9359,-4.6804
2,40834161.48,771,20,77,2,1,38.07,23628868.09,0.6579,1.0176,0,0.0,0.2468,0.72,9,57.87,4.2297,42.9472
1,33819410.27,200,20,22,0,1,32.79,11208541.93,0.9893,0.4987,7,0.3302,0.2119,0.5896,2,33.14,16.3944,47.865
2,326518755.25,340,98,46,0,1,30.6,85323516.38,1.171,1.0465,5,0.1061,0.2356,0.6315,3,26.13,10.2003,28.3656
0,3995341.64,115,15,13,1,0,89.25,2910177.26,1.2253,0.9702,1,0.0772,0.3055,0.3929,3,72.84,29.7496,-1.5833
0,13639617.39,69,9,6,0,0,37.0,3776112.74,1.3365,1.0487,2,0.3903,0.3607,0.3587,1,27.68,37.001,-4.342
1,33666330.0,1338,11,131,0,1,62.83,29096877.75,0.727,0.8434,33,0.2516,0.2017,0.4061,28,86.43,2.244,32.6585
0,12613886.66,50,13,11,1,0,74.42,8099700.5,1.1589,0.9366,3,0.279,0.2258,0.3717,1,64.21,74.4189,-6.9533
1,78033259.16,321,27,43,0,1,33.65,34745965.25,0.7556,0.7561,13,0.2941,0.3107,0.5265,3,44.53,11.2155,78.5156
1,141690883.97,195,27,23,2,1,70.33,84390975.05,1.1808,1.0701,5,0.1964,0.2279,0.4739,4,59.56,17.5817,13.8192
0,89832525.66,2931,59,293,0,1,77.15,72141827.65,0.9607,0.9965,0,0.0,0.3921,0.6492,75,80.31,1.0287,5.8751
0,32062887.65,1136,21,112,0,1,59.84,37006668.7,0.5184,0.7984,35,0.3124,0.2386,0.4248,22,115.42,2.7199,61.7366
0,12656982.15,57,11,9,0,0,81.71,13475390.33,0.7674,0.8184,3,0.377,0.2602,0.3398,1,106.47,81.7068,70.1504
1,38838191.0,1155,12,113,0,1,55.93,35848621.56,0.6059,0.8003,38,0.3358,0.3534,0.591,21,92.3,2.6633,82.0613
2,50311599.77,976,20,97,1,1,76.53,110003140.76,0.35,0.5241,52,0.5345,0.2988,0.5581,24,218.64,3.1886,162.5996
1,163449485.35,1863,54,184,0,1,49.75,68067770.59,1.1947,0.9534,14,0.0758,0.3537,0.5191,30,41.64,1.6585,-20.0
1,135735432.0,638,45,66,2,1,58.45,72529173.96,1.0939,1.0204,2,0.0277,0.2816,0.4579,12,53.43,4.871,2.4382
1,117556153.43,1810,39,185,2,1,67.37,77839334.12,1.0175,0.9757,0,0.0,0.2735,0.4668,40,66.21,1.6843,-2.2198
0,4588184.52,149,14,19,1,0,62.9,2503857.45,1.1526,0.4339,3,0.1764,0.2941,0.4742,3,54.57,20.9661,8.5554
0,56938544.58,2815,37,285,1,1,83.42,65498567.32,0.7252,0.8874,61,0.2145,0.348,0.4161,78,115.03,1.0695,28.8894
0,8887701.27,132,12,13,2,0,89.24,7073708.0,1.1213,1.0928,7,0.5374,0.3072,0.4689,3,79.59,29.7469,30.7337
2,379732195.35,323,124,42,1,1,62.83,252466298.26,0.945,1.0408,1,0.03,0.12,0.577,6,66.49,10.471,40.3403
2,28932013.37,2160,20,214,2,1,81.61,62315343.93,0.3789,0.5373,132,0.6188,0.3628,0.59,58,215.39,1.4071,144.5891
0,3394464.09,153,6,22,1,0,41.15,1040726.43,1.3421,1.0035,4,0.1967,0.3283,0.4513,2,30.66,20.5747,-11.4303
1,174938781.24,2236,58,224,0,1,84.2,186627996.6,0.7892,0.8589,50,0.2219,0.2677,0.5174,62,106.68,1.358,36.8685
0,26137712.88,179,8,24,0,1,77.21,21831693.89,0.9243,0.9759,6,0.2305,0.3806,0.5533,4,83.53,19.3016,27.5713
1,29896482.11,383,19,52,0,1,60.86,17457129.44,1.0423,1.1028,33,0.6304,0.318,0.5046,7,58.39,8.6945,38.2799
1,86873696.02,188,27,27,0,1,46.08,41358771.92,0.968,0.839,10,0.3735,0.2111,0.5668,2,47.61,23.0417,44.6563
1,52725298.0,1180,17,119,1,1,34.1,21381287.63,0.8408,1.1407,0,0.0,0.3869,0.696,13,40.55,2.6229,25.4901
2,388513113.12,708,121,91,0,1,91.84,323641049.61,1.1025,1.1494,47,0.5144,0.1838,0.4465,21,83.3,4.3733,50.5914
1,130079125.85,152,23,19,2,1,49.45,63642893.71,1.0108,0.815,3,0.1574,0.1671,0.4323,2,48.93,24.7268,29.4096
0,25374725.32,113,8,15,1,0,53.02,11468621.58,1.1731,0.4,7,0.4593,0.3959,0.3807,1,45.2,53.0202,16.3973
2,722597982.32,212,122,29,0,1,36.74,190367601.7,1.3947,0.8755,3,0.1203,0.2262,0.6211,2,26.34,18.371,35.9744
2,183604090.23,818,121,99,2,1,36.76,75977349.65,0.8884,1.2287,31,0.311,0.4401,0.5028,10,41.38,3.6765,55.3343
0,17493722.13,186,17,25,0,0,61.76,9834176.26,1.0986,0.919,6,0.2482,0.3657,0.4389,3,56.22,20.5866,21.8535
0,7171917.79,198,16,25,1,0,35.24,2345715.79,1.0774,0.7177,7,0.2835,0.4393,0.456,2,32.71,17.6185,13.6093
1,779877216.22,2501,259,250,0,1,73.03,628593101.69,0.9061,0.9735,0,0.0,0.2132,0.505,60,80.6,1.2172,13.7643
2,909702985.84,233,44,29,0,1,46.74,348798984.52,1.2191,1.0161,7,0.252,0.2048,0.4848,3,38.34,15.5815,23.7155
1,46189093.5,2115,15,211,1,1,62.02,39163120.17,0.7315,0.7831,65,0.3072,0.3357,0.6203,43,84.79,1.4423,60.9521
0,12263574.3,172,9,19,1,1,44.31,4294664.45,1.2653,1.1623,2,0.1006,0.2807,0.4214,2,35.02,22.1552,-14.5036
1,205916462.35,1236,68,124,0,1,50.35,153244847.7,0.6765,0.8801,17,0.1397,0.2443,0.4392,20,74.42,2.5173,60.9899
1,50309917.32,2771,16,275,0,1,50.64,26873095.83,0.9481,1.0039,27,0.0976,0.4111,0.5666,46,53.42,1.1009,20.2616
2,43328477.58,946,20,98,2,1,32.39,11662010.07,1.2032,1.0726,0,0.0,0.1259,0.5135,10,26.92,3.2385,-20.0
1,116779209.0,1977,38,195,0,1,77.05,124622836.23,0.722,0.874,41,0.2081,0.2303,0.4366,50,106.72,1.5411,32.9678
2,615193971.5,675,4,88,1,1,26.13,233500948.56,0.6885,1.0333,38,0.4351,0.3249,0.5648,5,37.96,5.2266,103.5332
1,124730915.04,2198,41,221,0,1,62.73,75188597.41,1.0406,0.9542,6,0.0274,0.2501,0.5277,45,60.28,1.394,-17.0084
1,139331318.5,516,24,66,2,1,71.96,91667399.89,1.0938,1.1101,9,0.1385,0.3551,0.4328,12,65.79,5.9971,9.9499
1,39450518.92,827,13,85,0,1,85.51,36730278.63,0.9184,1.0994,0,0.0,0.3052,0.4147,23,93.1,3.7179,2.4444
0,10091516.53,56,13,5,0,0,43.2,8535381.46,0.5108,1.1801,1,0.2639,0.3316,0.3829,1,84.58,43.2031,95.8094
1,160607553.66,2662,53,265,0,1,54.55,126333497.46,0.6935,0.8965,32,0.1195,0.2528,0.4797,48,78.66,1.1365,35.3436
0,4639455.28,118,9,11,1,0,55.85,2234631.25,1.1595,0.9226,2,0.2062,0.3292,0.5472,2,48.17,27.9251,-7.9377
1,18287844.59,193,27,26,1,1,54.97,14833126.07,0.6777,0.6376,4,0.1542,0.3099,0.5052,3,81.11,18.3222,72.2979
0,16707416.54,167,9,23,0,0,83.33,14737149.28,0.9447,0.8329,4,0.1865,0.4333,0.5557,4,88.21,20.8315,42.7575
1,36840305.8,1719,12,173,2,1,90.33,28033836.23,1.187,1.0536,0,0.0,0.219,0.5369,51,76.1,1.7711,-20.0
2,668777841.73,760,80,94,0,1,68.94,783852768.77,0.5882,0.9126,8,0.0859,0.2829,0.5786,17,117.21,4.0554,113.1334
1,43615262.5,924,14,92,0,1,53.72,28203338.3,0.8307,0.7568,33,0.3609,0.2704,0.4349,16,64.66,3.3574,41.1705
1,122061505.0,158,12,22,0,1,32.99,50331466.8,0.8,0.9962,4,0.1799,0.2494,0.3647,1,41.23,32.9872,68.4638
2,276154233.93,270,117,38,0,1,52.14,145643843.49,0.9885,1.0274,2,0.0635,0.2171,0.613,4,52.74,13.034,42.8833
2,325746460.85,160,65,17,0,1,33.85,116019001.56,0.9503,1.0034,1,0.0364,0.12,0.5031,1,35.62,33.846,47.2581
0,761425.04,121,8,16,0,0,65.11,579449.98,0.8556,0.8487,7,0.4317,0.3184,0.6238,2,76.1,32.5573,32.5163
1,81661584.68,1344,27,138,1,1,57.45,59822529.17,0.7842,1.0011,0,0.0,0.333,0.5572,25,73.26,2.298,14.0285
1,52431703.44,1767,17,178,1,1,47.24,31871056.52,0.7771,0.918,18,0.102,0.3351,0.3768,27,60.79,1.7495,14.0015
0,26878905.8,155,12,21,0,0,51.86,11061746.6,1.2601,1.003,6,0.303,0.3106,0.4835,2,41.15,25.9284,-16.618
1,155686314.8,416,28,56,2,1,54.1,114547943.09,0.7353,0.5716,11,0.1887,0.3611,0.5322,7,73.58,7.7289,72.4304
2,756492847.05,271,105,37,1,1,26.42,172049284.95,1.1615,1.0771,4,0.1201,0.1682,0.4713,2,22.74,13.2079,32.4201
1,35450809.0,2632,11,263,1,1,53.21,31167261.35,0.6053,0.8223,89,0.3373,0.3086,0.4446,46,87.92,1.1568,45.9162
